,date,price
0,2019-09-19,$63.00
1,2019-09-19,$70.00
2,2019-09-20,$75.00
3,2019-09-21,$75.00
4,2019-09-22,$70.00
5,2019-09-23,$70.00
6,2019-09-24,$70.00
7,2019-09-25,$70.00
8,2019-09-26,$70.00
9,2019-09-27,$75.00
10,2019-09-28,$75.00
11,2019-09-29,$70.00
12,2019-09-30,$70.00
13,2019-10-01,$70.00
14,2019-10-02,$70.00
15,2019-10-03,$70.00
16,2019-10-04,$75.00
17,2019-10-05,$75.00
18,2019-10-06,$70.00
19,2019-10-07,$70.00
20,2019-10-08,$70.00
21,2019-10-09,$70.00
22,2019-10-10,$70.00
23,2019-10-11,$75.00
24,2019-10-12,$75.00
